 Year,Rainfall,Humidity,Min Temperature,Max Temperature,Moisture level,Location,Min Ph,Max Ph,NP,Moderate temperature,Moderate,Moderate rainfall,Crop,Investment,Total Obtained,Profit,Yield In Quintal,Cost per quintal,Area,Per Acre,CProfit,Production,Seed cost per KG,Seeds Per hectare,Seeds Cost,Fetilizers per kg,Fetilizers per hectare,Fertilizers cost,Harvest per Acre,Others,rain
2006,736,0.55,21,35,55,Mandya,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Pandavapura,29757,27657,959,15.47,1478,22864.66,60,54,3240,40137,10748,736
2006,610,0.55,21,35,55,Mandya,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Srirangapatna,30292,29615,800,16.63,1593,26491.59,73,55,4015,37594,10696,610
2006,615,0.55,21,35,53,Mandya,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Nagamangala,28882,30440,1088,18.58,1544,28687.52,71,51,3621,34436,10562,615
2006,688,0.55,21,35,53,Mandya,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Krishnarajpet,30090,30991,865,15.71,1215,19087.65,68,46,3128,45364,11832,688
2006,697,0.55,21,35,48,Mysore,7,7,100:200,28,0.55,100-120 cms,Sugarcane,1797,8013269,216772,8657,1797,Piriyapatna,28946,29790,848,18.32,1310,23999.2,71,51,3621,33804,11428,697
2006,765,0.55,21,35,51,Mysore,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Hunsur,29451,30688,1038,18.42,1372,25272.24,65,55,3575,35611,11761,765
2006,615,0.55,21,35,55,Mysore,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Krishnarajanagara,33751,28995,921,17.22,1570,27035.4,63,48,3024,47623,12929,615
2006,710,0.55,21,35,53,Mysore,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Heggadadevanakote,30838,30134,1028,15.36,1468,22548.48,73,48,3504,38746,11290,710
2006,775,0.55,21,35,50,Mysore,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Nanjangud,31541,30164,808,18.65,1252,23349.8,68,52,3536,46436,13006,775
2006,657,0.55,21,35,46,Mysore,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Saragur,33107,29760,852,17.36,1485,25779.6,63,52,3276,45447,10462,657
2006,704,0.55,21,35,49,Mysore,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Tirumakudalu Narasipura,29138,29885,913,15.64,1427,22318.28,68,50,3400,33412,12834,704
2006,682,0.55,21,35,49,Chamrajnagar,6,7,100:200,28,0.55,100-120 cms,Sugarcane,1389,5662142,93380,1795,1389,Kollegal,31408,29276,1029,17.7,1397,24726.9,75,48,3600,44420,11110,682
2006,785,0.55,21,35,47,Chamrajnagar,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Yelandur,32302,30525,1047,16.63,1504,25011.52,62,50,3100,40481,12560,785
2006,753,0.55,21,35,47,Chamrajnagar,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Gundlupet,29670,30238,919,18.42,1588,29250.96,57,50,2850,40000,12894,753
2006,743,0.55,21,35,52,Bidar,6,7,100:200,28,0.55,100-120 cms,Sugarcane,1488,7247753,220897,5815,1488,Humnabad,31345,31027,805,17.66,1555,27461.3,73,48,3504,43042,13039,743
2006,750,0.55,21,35,50,Bidar,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Bhalki,32101,30391,1008,18.13,1512,27412.56,68,50,3400,38660,13741,750
2006,750,0.55,21,35,46,Bidar,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Aurad,33305,29830,983,18.62,1511,28134.82,56,55,3080,40719,11802,750
2006,637,0.55,21,35,46,Bidar,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Hulsoor,31144,27519,809,17.33,1596,27658.68,61,46,2806,44451,12546,637
2006,637,0.55,21,35,54,Bidar,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Chitgoppa,30679,29524,910,17.48,1245,21762.6,71,46,3266,33527,12244,637
2006,774,0.55,21,35,56,Bidar,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Kamalnagar,33663,30955,1040,16.18,1407,22765.26,64,45,2880,47313,12804,774
2006,669,0.55,21,35,50,Bidar,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Basavakalyan,28660,30691,759,18.35,1528,28038.8,57,53,3021,44962,11523,669
2007,1950,0.55,21,35,45,Belgaum,8,7,100:200,28,0.55,100-120 cms,Sugarcane,1773,8081279,253650,7234,1773,Athani,33049,29497,829,15.65,1242,19437.3,66,52,3432,36522,10387,1950
2007,1652,0.55,21,35,45,Belgaum,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Bailhongal,31840,30604,1042,17.62,1384,24386.08,71,54,3834,45323,12971,1652
2007,1773,0.55,21,35,45,Belgaum,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Belgaum,33882,28861,1028,16.19,1343,21743.17,73,45,3285,47504,12259,1773
2007,1803,0.55,21,35,45,Belgaum,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Chikkodi,29718,27851,993,17.68,1322,23372.96,74,50,3700,43699,10504,1803
2007,1502,0.55,21,35,45,Belgaum,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Gokak,31023,29466,975,18.61,1294,24081.34,67,54,3618,34514,11230,1502
2007,1562,0.55,21,35,45,Belgaum,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Hukkeri,31874,28467,1000,17.29,1282,22165.78,61,53,3233,35288,13626,1562
2007,1570,0.55,21,35,45,Belgaum,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Khanapur,28612,28205,1064,17.29,1503,25986.87,60,53,3180,35461,12901,1570
2007,1706,0.55,21,35,45,Belgaum,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Ramdurg,33652,30645,1026,17.71,1301,23040.71,67,52,3484,38511,13835,1706
2007,751,0.55,21,35,47,Bagalkot,6,7,100:200,28,0.55,100-120 cms,Sugarcane,43078.2,7937820,215391,7385,43078.2,Badami,32281,27974,891,17.45,1487,25948.15,66,47,3102,42836,13077,751
2007,619,0.55,21,35,51,Bagalkot,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Hunagunda,31433,27561,927,15.67,1423,22298.41,63,46,2898,37787,13064,619
2007,762,0.55,21,35,45,Bagalkot,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Mudhol,33718,29042,805,16.47,1513,24919.11,56,51,2856,40458,10337,762
2007,695,0.55,21,35,48,Bagalkot,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Jamkhandi,29048,28200,1087,17.5,1262,22085,55,50,2750,43350,12448,695
2007,785,0.55,21,35,55,Bagalkot,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Bilgi,28813,31114,812,16.57,1291,21391.87,64,52,3328,36717,11437,785
2007,655,0.55,21,35,55,Bagalkot,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, RabakaviBanahatti,29098,30789,754,16.15,1496,24160.4,57,53,3021,36974,10990,655
2007,759,0.55,21,35,52,Bagalkot,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Guledgudda,31000,28788,1062,15.68,1243,19490.24,55,46,2530,33040,11507,759
2007,713,0.55,21,35,56,Bijapur,6,7,100:200,28,0.55,100-120 cms,Sugarcane,2063,7955067,253372,7010,2063,Basavana Bagewadi,32178,28334,851,15.18,1469,22299.42,59,47,2773,44093,13836,713
2007,715,0.55,21,35,45,Bijapur,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Sindagi,29570,30303,754,16.69,1353,22581.57,73,48,3504,42642,11479,715
2007,719,0.55,21,35,50,Bijapur,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Indi,32586,28033,813,18.5,1394,25789,69,48,3312,40980,13150,719
2007,644,0.55,21,35,50,Bijapur,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Muddebihal,31111,31104,758,15.52,1400,21728,67,54,3618,42249,11054,644
2007,623,0.55,21,35,52,Bijapur,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Sindagi,31099,29436,1044,16.34,1561,25506.74,64,47,3008,36557,13568,623
2007,661,0.55,21,35,55,Bijapur,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Talikota,33528,29406,1086,17.31,1517,26259.27,75,55,4125,47477,10229,661
2007,645,0.55,21,35,54,Bijapur,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Nagathan,32771,28630,930,18.32,1435,26289.2,61,55,3355,34409,13240,645
2007,679,0.55,21,35,48,Bijapur,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Chadchan,30529,28942,924,18.61,1221,22722.81,65,52,3380,39593,13779,679
2007,650,0.55,21,35,52,Mandya,6,7,100:200,28,0.55,100-120 cms,Sugarcane,2234,7817958,220202,2114,2234,Mandya,28743,28879,959,18.67,1316,24569.72,55,54,2970,43545,13230,650
2007,757,0.55,21,35,45,Mandya,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Maddur,31800,30006,1025,15.69,1270,19926.3,60,45,2700,45034,12466,757
2007,687,0.55,21,35,49,Mandya,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Malavalli,32518,27587,948,15.34,1463,22442.42,61,54,3294,46340,12807,687
2007,697,0.55,21,35,51,Mandya,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Pandavapura,32865,28277,809,15.36,1537,23608.32,70,53,3710,38965,12605,697
2007,661,0.55,21,35,52,Mandya,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Srirangapatna,30081,29055,1003,18.21,1383,25184.43,63,52,3276,41905,11663,661
2007,762,0.55,21,35,46,Mandya,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Nagamangala,30978,29575,795,18.24,1541,28107.84,65,55,3575,37303,10595,762
2007,669,0.55,21,35,53,Mandya,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Krishnarajpet,33217,29505,920,15.6,1462,22807.2,69,46,3174,34873,13231,669
2007,635,0.55,21,35,56,Mysore,8,7,100:200,28,0.55,100-120 cms,Sugarcane,1685,7577983,221746,7564,1685,Piriyapatna,31004,29707,1024,15.28,1305,19940.4,73,48,3504,37513,10590,635
2007,772,0.55,21,35,55,Mysore,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Hunsur,28867,31384,914,16.63,1523,25327.49,73,47,3431,36705,13707,772
2007,763,0.55,21,35,50,Mysore,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Krishnarajanagara,32270,30433,823,18.54,1510,27995.4,68,55,3740,34662,12122,763
2007,696,0.55,21,35,53,Mysore,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Heggadadevanakote,31746,29230,899,15.54,1521,23636.34,66,52,3432,44717,13513,696
2007,712,0.55,21,35,50,Mysore,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Nanjangud,30193,27669,955,18.14,1521,27590.94,68,52,3536,41746,11948,712
2007,717,0.55,21,35,54,Mysore,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Saragur,33767,29142,869,17.68,1397,24698.96,56,47,2632,41539,11656,717
2007,629,0.55,21,35,55,Mysore,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Tirumakudalu Narasipura,33899,29169,869,15.66,1499,23474.34,68,54,3672,37072,13906,629
2007,725,0.55,21,35,56,Chamrajnagar,7,7,100:200,28,0.55,100-120 cms,Sugarcane,1345,5653898,95729,1869,1345,Kollegal,31011,29824,928,18.36,1490,27356.4,59,48,2832,47410,13073,725
2007,719,0.55,21,35,47,Chamrajnagar,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Yelandur,30724,29595,920,17.3,1582,27368.6,62,53,3286,38200,11091,719
2007,677,0.55,21,35,45,Chamrajnagar,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Gundlupet,33994,31412,778,17.28,1348,23293.44,62,49,3038,34827,13887,677
2007,666,0.55,21,35,53,Bidar,6,7,100:200,28,0.55,100-120 cms,Sugarcane,1424,7503964,225392,5875,1424,Humnabad,30596,29672,763,17.36,1290,22394.4,60,50,3000,38981,12719,666
2007,668,0.55,21,35,52,Bidar,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Bhalki,33103,28804,1069,15.36,1487,22840.32,59,47,2773,44045,11292,668
2007,751,0.55,21,35,46,Bidar,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Aurad,33410,29344,955,15.7,1451,22780.7,68,45,3060,34320,10203,751
2007,764,0.55,21,35,55,Bidar,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Hulsoor,33263,28825,1051,18.65,1507,28105.55,73,53,3869,45456,10545,764
2007,729,0.55,21,35,48,Bidar,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Chitgoppa,31932,27664,818,15.32,1298,19885.36,69,55,3795,37177,12243,729
2007,605,0.55,21,35,48,Bidar,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Kamalnagar,31996,28901,810,15.48,1533,23730.84,58,50,2900,36363,10465,605
2007,741,0.55,21,35,54,Bidar,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Basavakalyan,31092,29827,968,17.57,1370,24070.9,56,55,3080,37998,11302,741
2008,1747,0.55,21,35,45,Belgaum,8,7,100:200,28,0.55,100-120 cms,Sugarcane,1810,7999478,254704,7133,1810,Athani,33622,27723,826,17.68,1364,24115.52,65,54,3510,46531,11097,1747
2008,1809,0.55,21,35,45,Belgaum,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Bailhongal,32268,28821,816,15.55,1288,20028.4,65,46,2990,38941,13310,1809
2008,1905,0.55,21,35,45,Belgaum,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Belgaum,31607,30071,1006,17.4,1396,24290.4,62,49,3038,37198,12767,1905
2008,1863,0.55,21,35,45,Belgaum,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Chikkodi,33789,30407,1042,16.29,1587,25852.23,72,49,3528,37628,13467,1863
2008,1939,0.55,21,35,45,Belgaum,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Gokak,31390,29448,1090,17.57,1234,21681.38,64,46,2944,45617,11105,1939
2008,1685,0.55,21,35,45,Belgaum,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Hukkeri,31391,30922,1051,16.37,1372,22459.64,73,54,3942,35359,13670,1685
2008,1706,0.55,21,35,45,Belgaum,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Khanapur,30870,30234,1064,15.17,1309,19857.53,74,55,4070,40379,13577,1706
2008,1529,0.55,21,35,45,Belgaum,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Ramdurg,29767,29480,940,17.37,1337,23223.69,62,51,3162,46582,13042,1529
2008,720,0.55,21,35,56,Bagalkot,6,7,100:200,28,0.55,100-120 cms,Sugarcane,43606.6,7796877,218033,6920,43606.6,Badami,31115,29097,1025,18.34,1447,26537.98,61,51,3111,42324,11804,720
2008,606,0.55,21,35,48,Bagalkot,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Hunagunda,29945,29847,861,18.17,1423,25855.91,57,52,2964,40058,13470,606
2008,647,0.55,21,35,56,Bagalkot,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Mudhol,33648,29034,909,17.46,1454,25386.84,59,49,2891,45950,11359,647
2008,601,0.55,21,35,52,Bagalkot,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Jamkhandi,28500,29058,913,18.47,1414,26116.58,64,53,3392,37602,12816,601
2008,720,0.55,21,35,45,Bagalkot,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Bilgi,30906,29347,849,16.47,1492,24573.24,67,49,3283,47750,13102,720
2008,710,0.55,21,35,49,Bagalkot,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, RabakaviBanahatti,30890,30925,996,15.24,1512,23042.88,62,51,3162,41769,12376,710
2008,686,0.55,21,35,52,Bagalkot,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Guledgudda,33029,27530,793,15.75,1441,22695.75,66,50,3300,33502,13415,686
2008,715,0.55,21,35,45,Bijapur,8,7,100:200,28,0.55,100-120 cms,Sugarcane,1991,8276716,248792,7332,1991,Basavana Bagewadi,29930,27594,901,17.56,1346,23635.76,58,53,3074,37374,13670,715
2008,699,0.55,21,35,52,Bijapur,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Sindagi,32213,29238,1019,16.25,1352,21970,57,52,2964,46994,12553,699
2008,736,0.55,21,35,49,Bijapur,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Indi,31923,28669,1081,15.48,1507,23328.36,58,54,3132,43009,10737,736
2008,694,0.55,21,35,55,Bijapur,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Muddebihal,33681,27673,873,17.41,1543,26863.63,71,50,3550,38758,10223,694
2008,721,0.55,21,35,45,Bijapur,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Sindagi,28968,28080,971,16.31,1307,21317.17,62,47,2914,37460,13818,721
2008,725,0.55,21,35,46,Bijapur,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Talikota,31354,28988,1069,15.69,1241,19471.29,57,49,2793,41765,12779,725
2008,607,0.55,21,35,48,Bijapur,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Nagathan,29153,31032,1000,16.71,1331,22241.01,66,47,3102,42808,11393,607
2008,635,0.55,21,35,56,Bijapur,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Chadchan,31570,29685,932,16.26,1353,21999.78,71,51,3621,40607,12568,635
2008,740,0.55,21,35,48,Mandya,6,7,100:200,28,0.55,100-120 cms,Sugarcane,2173,7965254,214499,2154,2173,Mandya,31423,29249,826,18.66,1442,26907.72,68,53,3604,40681,11685,740
2008,685,0.55,21,35,45,Mandya,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Maddur,33870,30189,862,15.32,1560,23899.2,61,49,2989,38126,11914,685
2008,619,0.55,21,35,48,Mandya,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Malavalli,29520,29961,916,17.72,1476,26154.72,67,50,3350,41428,12939,619
2008,794,0.55,21,35,54,Mandya,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Pandavapura,32393,28538,988,18.62,1519,28283.78,59,55,3245,40785,12960,794
2008,601,0.55,21,35,50,Mandya,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Srirangapatna,28501,29859,810,15.25,1423,21700.75,69,46,3174,42917,12094,601
2008,678,0.55,21,35,55,Mandya,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Nagamangala,28774,28497,811,17.18,1472,25288.96,63,50,3150,47838,12548,678
2008,693,0.55,21,35,51,Mandya,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Krishnarajpet,30018,29477,883,18.27,1275,23294.25,64,51,3264,35455,12960,693
2008,725,0.55,21,35,52,Mysore,8,7,100:200,28,0.55,100-120 cms,Sugarcane,1239,7446404,215438,7474,1239,Piriyapatna,30042,31400,834,17.13,1240,21241.2,71,52,3692,33559,10337,725
2008,771,0.55,21,35,53,Mysore,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Hunsur,30143,27904,770,16.41,1313,21546.33,74,47,3478,38940,10923,771
2008,602,0.55,21,35,54,Mysore,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Krishnarajanagara,31846,27575,958,17.4,1559,27126.6,57,52,2964,46410,10698,602
2008,676,0.55,21,35,56,Mysore,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Heggadadevanakote,32000,28902,1052,17.6,1588,27948.8,62,50,3100,47791,10335,676
2008,636,0.55,21,35,49,Mysore,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Nanjangud,29340,28783,1091,17.65,1327,23421.55,64,49,3136,36591,11217,636
2008,759,0.55,21,35,52,Mysore,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Saragur,32507,28267,906,16.25,1443,23448.75,67,52,3484,39296,11540,759
2008,704,0.55,21,35,56,Mysore,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Tirumakudalu Narasipura,29560,30677,1027,17.61,1332,23456.52,73,52,3796,34075,11453,704
2008,630,0.55,21,35,54,Chamrajnagar,7,7,100:200,28,0.55,100-120 cms,Sugarcane,1331,5657091,97098,1842,1331,Kollegal,32604,28036,802,16.36,1422,23263.92,62,52,3224,38096,12280,630
2008,659,0.55,21,35,50,Chamrajnagar,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Yelandur,32250,29613,1042,16.7,1381,23062.7,70,55,3850,34046,10567,659
2008,726,0.55,21,35,56,Chamrajnagar,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Gundlupet,32244,27733,1008,18.18,1385,25179.3,74,49,3626,38736,10404,726
2008,777,0.55,21,35,56,Bidar,7,7,100:200,28,0.55,100-120 cms,Sugarcane,1394,7610193,221549,5750,1394,Humnabad,33492,31337,902,18.5,1440,26640,74,51,3774,41248,12149,777
2008,716,0.55,21,35,54,Bidar,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Bhalki,32739,28553,1031,17.36,1592,27637.12,74,50,3700,36084,12624,716
2008,799,0.55,21,35,55,Bidar,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Aurad,31203,27778,773,18.37,1263,23201.31,67,46,3082,35773,12202,799
2008,776,0.55,21,35,56,Bidar,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Hulsoor,31285,27701,809,16.58,1268,21023.44,74,46,3404,47529,13500,776
2008,796,0.55,21,35,46,Bidar,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Chitgoppa,33934,29114,764,16.17,1236,19986.12,67,53,3551,40309,10580,796
2008,731,0.55,21,35,56,Bidar,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Kamalnagar,29564,27561,878,15.5,1490,23095,57,49,2793,39257,11571,731
2008,673,0.55,21,35,48,Bidar,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Basavakalyan,29332,30067,1001,16.35,1308,21385.8,72,46,3312,36618,11987,673
2009,1893,0.55,21,35,45,Belgaum,8,7,100:200,28,0.55,100-120 cms,Sugarcane,1734,8061441,248542,7439,1734,Athani,30662,28998,921,15.37,1246,19151.02,66,51,3366,33113,13466,1893
2009,1634,0.55,21,35,45,Belgaum,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Bailhongal,30486,29302,815,16.48,1278,21061.44,68,45,3060,47834,12236,1634
2009,1959,0.55,21,35,45,Belgaum,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Belgaum,30133,30279,947,15.28,1567,23943.76,70,53,3710,44038,11514,1959
2009,1528,0.55,21,35,45,Belgaum,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Chikkodi,33161,29798,1028,15.28,1411,21560.08,65,52,3380,43556,12489,1528
2009,1929,0.55,21,35,45,Belgaum,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Gokak,29964,28559,840,15.24,1538,23439.12,60,54,3240,41283,10949,1929
2009,1520,0.55,21,35,45,Belgaum,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Hukkeri,32698,27613,777,16.25,1311,21303.75,74,52,3848,43753,13456,1520
2009,1664,0.55,21,35,45,Belgaum,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Khanapur,31073,27842,905,18.41,1586,29198.26,62,48,2976,39030,10509,1664
2009,1927,0.55,21,35,45,Belgaum,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Ramdurg,30365,28742,1000,18.43,1388,25580.84,66,54,3564,43062,12838,1927
2009,633,0.55,21,35,55,Bagalkot,6,7,100:200,28,0.55,100-120 cms,Sugarcane,43742,8092180,218710,7140,43742,Badami,30876,27966,1043,17.21,1319,22699.99,63,47,2961,45448,11452,633
2009,638,0.55,21,35,51,Bagalkot,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Hunagunda,31661,29609,950,16.51,1426,23543.26,59,52,3068,33765,13061,638
2009,618,0.55,21,35,54,Bagalkot,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Mudhol,32630,30516,1020,15.58,1266,19724.28,55,45,2475,42306,10205,618
2009,799,0.55,21,35,45,Bagalkot,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Jamkhandi,32241,27758,976,15.28,1522,23256.16,63,53,3339,42766,13599,799
2009,652,0.55,21,35,52,Bagalkot,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Bilgi,31627,28037,912,18.65,1480,27602,73,53,3869,47851,11858,652
2009,751,0.55,21,35,54,Bagalkot,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, RabakaviBanahatti,29917,28928,1038,15.45,1423,21985.35,58,51,2958,45806,11379,751
2009,747,0.55,21,35,54,Bagalkot,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Guledgudda,29758,29191,1003,17.45,1441,25145.45,63,46,2898,44731,13414,747
2009,647,0.55,21,35,45,Bijapur,7,7,100:200,28,0.55,100-120 cms,Sugarcane,2218,7883218,243508,7407,2218,Basavana Bagewadi,30987,31496,916,15.43,1414,21818.02,68,52,3536,37953,10355,647
2009,762,0.55,21,35,54,Bijapur,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Sindagi,29849,27550,814,16.36,1200,19632,75,47,3525,45813,13710,762
2009,711,0.55,21,35,52,Bijapur,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Indi,30299,27865,948,17.67,1453,25674.51,68,50,3400,45500,10816,711
2009,679,0.55,21,35,52,Bijapur,8,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Muddebihal,30473,28121,1046,17.45,1582,27605.9,65,52,3380,39207,11530,679
2009,712,0.55,21,35,47,Bijapur,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Sindagi,28758,27984,1045,17.48,1453,25398.44,75,52,3900,41703,12783,712
2009,726,0.55,21,35,50,Bijapur,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Talikota,31649,30673,1073,16.53,1558,25753.74,56,53,2968,40778,12158,726
2009,696,0.55,21,35,48,Bijapur,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Nagathan,29761,31040,765,17.69,1373,24288.37,73,54,3942,35852,10306,696
2009,614,0.55,21,35,45,Bijapur,6,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,,Chadchan,31732,27539,848,18.66,1225,22858.5,58,51,2958,37688,11363,614
2009,760,0.55,21,35,50,Mandya,8,7,100:200,28,0.55,100-120 cms,Sugarcane,2246,8135691,214556,2148,2246,Mandya,28981,29685,922,16.65,1414,23543.1,63,46,2898,33645,10638,760
2009,782,0.55,21,35,56,Mandya,7,7,100:200,28,0.55,100-120 cms,Sugarcane,,,,,, Maddur,33910,29447,947,18.58,1391,25844.78,75,49,3675,46768,12872,782
